asset_id,label,state,categories,concept_tags,credibility,tacitness,transferability,ai_interfaceability,human_calibration_required,supporting_trace_ids
asset-relational-1ace3697f2f5,Recurring collaborative linkage with Morgan Lee,provisional,codified|tacit_procedural|relational|combinative_execution|bundle,Collaboration network|Knowledge management|Multi-omics integration|Reproducible research,0.7855,0.4062,0.6984,0.5631,True,trace-syn-maya-chen-007|trace-syn-maya-chen-009|trace-syn-maya-chen-011|trace-syn-maya-chen-014|trace-syn-maya-chen-018|trace-syn-maya-chen-019|trace-syn-maya-chen-020|trace-syn-maya-chen-021
asset-concept-38546de7c21d,Repeatable capability in Transcriptomics,provisional,codified|tacit_procedural|combinative_execution|bundle,Transcriptomics,0.7799,0.3467,0.675,0.6676,False,trace-syn-maya-chen-001|trace-syn-maya-chen-003|trace-syn-maya-chen-008
asset-execution-2740a1eb472f,End-to-end execution capability in Agentic AI,provisional,codified|tacit_procedural|combinative_execution|bundle,Agentic AI,0.7618,0.3467,0.675,0.6776,False,trace-syn-maya-chen-001|trace-syn-maya-chen-002|trace-syn-maya-chen-003
asset-concept-3efdcc4997ba,Repeatable capability in Agentic AI,provisional,codified|tacit_procedural|combinative_execution|bundle,Agentic AI,0.7618,0.3467,0.675,0.6776,False,trace-syn-maya-chen-001|trace-syn-maya-chen-002|trace-syn-maya-chen-003
asset-concept-8579d7558883,Repeatable capability in Artificial intelligence,provisional,codified,Artificial intelligence,0.7613,0.05,0.5775,0.801,False,trace-syn-maya-chen-006|trace-syn-maya-chen-017
asset-concept-813cd43e9679,Repeatable capability in Software engineering,provisional,codified|tacit_procedural|combinative_execution|bundle,Software engineering,0.7596,0.3467,0.57,0.7543,False,trace-syn-maya-chen-002|trace-syn-maya-chen-011|trace-syn-maya-chen-012
asset-concept-314c712bdbd9,Repeatable capability in Multi-omics integration,provisional,codified,Multi-omics integration,0.7518,0.0,0.79,0.77,False,trace-syn-maya-chen-007|trace-syn-maya-chen-009
asset-pair-45ed6e68041f,Combinative capability linking Causal inference and Clinical trials,provisional,codified|combinative_execution,Causal inference|Clinical trials,0.7441,0.0,0.79,0.75,True,trace-syn-maya-chen-004|trace-syn-maya-chen-005
asset-concept-dd93bce0f388,Repeatable capability in Clinical trials,provisional,codified,Clinical trials,0.7441,0.0,0.79,0.75,True,trace-syn-maya-chen-004|trace-syn-maya-chen-005
asset-artifact-41265bb0f345,Reusable software artifact: kdaa-ai prototype,provisional,codified|combinative_execution,Artificial intelligence|Knowledge management|Product development,0.7437,0.0,0.685,0.95,True,trace-syn-maya-chen-017
asset-pair-35d803664347,Combinative capability linking Agentic AI and Bioinformatics,provisional,codified|combinative_execution,Agentic AI|Bioinformatics,0.7355,0.0,0.79,0.835,True,trace-syn-maya-chen-001|trace-syn-maya-chen-002
asset-artifact-9ae1aa41cc53,Reusable software artifact: research-workflow-template,provisional,codified|combinative_execution,Data engineering|Reproducible research|Software engineering,0.7261,0.0,0.685,0.95,True,trace-syn-maya-chen-011
asset-artifact-2171212514dd,Reusable protocol: Multimodal validation and leakage-control protocol,provisional,codified|combinative_execution,Multi-omics integration|Reproducible research,0.7117,0.0,0.685,0.82,True,trace-syn-maya-chen-009
asset-artifact-e6b4881d1d35,Reusable data resource: Harmonized multi-cohort omics benchmark,provisional,codified|combinative_execution,Data engineering|Genomics|Transcriptomics,0.7095,0.0,0.685,0.92,True,trace-syn-maya-chen-008
asset-pair-ec2582546053,Combinative capability linking Agentic AI and Reproducible research,provisional,codified|tacit_procedural|combinative_execution|bundle,Agentic AI|Reproducible research,0.6992,0.455,0.4763,0.5531,True,trace-syn-maya-chen-001|trace-syn-maya-chen-003
asset-pair-1c6071542975,Combinative capability linking Agentic AI and Transcriptomics,provisional,codified|tacit_procedural|combinative_execution|bundle,Agentic AI|Transcriptomics,0.6992,0.455,0.4763,0.5531,True,trace-syn-maya-chen-001|trace-syn-maya-chen-003
asset-pair-08886d135595,Combinative capability linking Reproducible research and Transcriptomics,provisional,codified|tacit_procedural|combinative_execution|bundle,Reproducible research|Transcriptomics,0.6992,0.455,0.4763,0.5531,True,trace-syn-maya-chen-001|trace-syn-maya-chen-003
asset-artifact-22bd088ef92b,Reusable curriculum asset: Statistical programming with AI assistance,provisional,codified|combinative_execution,Generative AI|Teaching and curriculum design,0.6988,0.0,0.685,0.78,True,trace-syn-maya-chen-013
asset-artifact-18eed3c9b870,Reusable curriculum asset: AI and causal reasoning for clinical trials,provisional,codified|combinative_execution,Causal inference|Clinical trials|Teaching and curriculum design,0.6811,0.0,0.685,0.78,True,trace-syn-maya-chen-005
asset-artifact-18b2a51e0b89,Reusable software artifact: omics-agent-workbench,provisional,codified|combinative_execution,Agentic AI|Bioinformatics|Generative AI|Software engineering,0.6552,0.0,0.685,0.95,True,trace-syn-maya-chen-002
